Filename,Keyword String
scopus_1,(LCA OR life cycle assessment OR life cycle analysis OR whole life carbon assessment) AND structur* AND (building* OR infrastructure)
scopus_2,(LCA OR life cycle assessment OR life cycle analysis OR whole life carbon assessment Or embodied) AND structur* AND (building* OR infrastructure)
